Município;Total;UF;Data
ABAIRA;2;BA;01/03/2021
ABARE;8;BA;01/03/2021
ACAJUTIBA;13;BA;01/03/2021
ADUSTINA;6;BA;01/03/2021
AGUA FRIA;3;BA;01/03/2021
AIQUARA;2;BA;01/03/2021
ALAGOINHAS;433;BA;01/03/2021
ALCOBACA;2;BA;01/03/2021
ALMADINA;1;BA;01/03/2021
AMARGOSA;38;BA;01/03/2021
AMELIA RODRIGUES;35;BA;01/03/2021
AMERICA DOURADA;7;BA;01/03/2021
ANAGE;2;BA;01/03/2021
ANDARAI;3;BA;01/03/2021
ANDORINHA;16;BA;01/03/2021
ANGICAL;5;BA;01/03/2021
ANGUERA;9;BA;01/03/2021
ANTAS;2;BA;01/03/2021
ANTONIO CARDOSO;3;BA;01/03/2021
ANTONIO GONCALVES;10;BA;01/03/2021
APORA;14;BA;01/03/2021
ARACAS;15;BA;01/03/2021
ARACATU;7;BA;01/03/2021
ARACI;28;BA;01/03/2021
ARAMARI;12;BA;01/03/2021
ARATACA;2;BA;01/03/2021
ARATUIPE;1;BA;01/03/2021
AURELINO LEAL;7;BA;01/03/2021
BAIANOPOLIS;11;BA;01/03/2021
BAIXA GRANDE;10;BA;01/03/2021
BANZAE;5;BA;01/03/2021
BARRA;38;BA;01/03/2021
BARRA DA ESTIVA;12;BA;01/03/2021
BARRA DO CHOCA;3;BA;01/03/2021
BARRA DO MENDES;6;BA;01/03/2021
BARRA DO ROCHA;3;BA;01/03/2021
BARREIRAS;438;BA;01/03/2021
BARRO ALTO;2;BA;01/03/2021
BARRO PRETO;7;BA;01/03/2021
BARROCAS;16;BA;01/03/2021
BELMONTE;12;BA;01/03/2021
BELO CAMPO;5;BA;01/03/2021
BIRITINGA;2;BA;01/03/2021
BOA NOVA;7;BA;01/03/2021
BOA VISTA DO TUPIM;8;BA;01/03/2021
BOM JESUS DA LAPA;119;BA;01/03/2021
BOM JESUS DA SERRA;2;BA;01/03/2021
BONINAL;1;BA;01/03/2021
BONITO;4;BA;01/03/2021
BOQUIRA;5;BA;01/03/2021
BOTUPORA;7;BA;01/03/2021
BREJOES;7;BA;01/03/2021
BREJOLANDIA;1;BA;01/03/2021
BROTAS DE MACAUBAS;3;BA;01/03/2021
BRUMADO;60;BA;01/03/2021
BUERAREMA;9;BA;01/03/2021
BURITIRAMA;3;BA;01/03/2021
CABACEIRAS DO PARAGUACU;6;BA;01/03/2021
CACHOEIRA;33;BA;01/03/2021
CACULE;14;BA;01/03/2021
CAEM;6;BA;01/03/2021
CAETANOS;2;BA;01/03/2021
CAETITE;41;BA;01/03/2021
CAFARNAUM;5;BA;01/03/2021
CAIRU;10;BA;01/03/2021
CALDEIRAO GRANDE;3;BA;01/03/2021
CAMACAN;40;BA;01/03/2021
CAMACARI;1219;BA;01/03/2021
CAMAMU;25;BA;01/03/2021
CAMPO ALEGRE DE LOURDES;11;BA;01/03/2021
CAMPO FORMOSO;61;BA;01/03/2021
CANAPOLIS;4;BA;01/03/2021
CANARANA;8;BA;01/03/2021
CANAVIEIRAS;33;BA;01/03/2021
CANDEAL;1;BA;01/03/2021
CANDEIAS;224;BA;01/03/2021
CANDIBA;5;BA;01/03/2021
CANDIDO SALES;4;BA;01/03/2021
CANSANCAO;14;BA;01/03/2021
CANUDOS;7;BA;01/03/2021
CAPELA DO ALTO ALEGRE;9;BA;01/03/2021
CAPIM GROSSO;17;BA;01/03/2021
CARAIBAS;2;BA;01/03/2021
CARAVELAS;23;BA;01/03/2021
CARDEAL DA SILVA;4;BA;01/03/2021
CARINHANHA;4;BA;01/03/2021
CASA NOVA;31;BA;01/03/2021
CASTRO ALVES;6;BA;01/03/2021
CATOLANDIA;2;BA;01/03/2021
CATU;176;BA;01/03/2021
CATURAMA;2;BA;01/03/2021
CENTRAL;17;BA;01/03/2021
CHORROCHO;9;BA;01/03/2021
CICERO DANTAS;6;BA;01/03/2021
CIPO;13;BA;01/03/2021
COARACI;17;BA;01/03/2021
COCOS;8;BA;01/03/2021
CONCEICAO DA FEIRA;14;BA;01/03/2021
CONCEICAO DO ALMEIDA;7;BA;01/03/2021
CONCEICAO DO COITE;34;BA;01/03/2021
CONCEICAO DO JACUIPE;37;BA;01/03/2021
CONDE;24;BA;01/03/2021
CONDEUBA;5;BA;01/03/2021
CONTENDAS DO SINCORA;4;BA;01/03/2021
CORACAO DE MARIA;8;BA;01/03/2021
CORDEIROS;4;BA;01/03/2021
CORIBE;5;BA;01/03/2021
CORONEL JOAO SA;21;BA;01/03/2021
CORRENTINA;63;BA;01/03/2021
COTEGIPE;3;BA;01/03/2021
CRAVOLANDIA;2;BA;01/03/2021
CRISOPOLIS;16;BA;01/03/2021
CRISTOPOLIS;5;BA;01/03/2021
CRUZ DAS ALMAS;108;BA;01/03/2021
CURACA;24;BA;01/03/2021
DARIO MEIRA;2;BA;01/03/2021
DIAS D'AVILA;270;BA;01/03/2021
DOM BASILIO;3;BA;01/03/2021
ELISIO MEDRADO;6;BA;01/03/2021
ENCRUZILHADA;11;BA;01/03/2021
ENTRE RIOS;61;BA;01/03/2021
ESPLANADA;54;BA;01/03/2021
EUCLIDES DA CUNHA;59;BA;01/03/2021
EUNAPOLIS;226;BA;01/03/2021
FATIMA;11;BA;01/03/2021
FEIRA DA MATA;1;BA;01/03/2021
FEIRA DE SANTANA;1325;BA;01/03/2021
FILADELFIA;18;BA;01/03/2021
FIRMINO ALVES;1;BA;01/03/2021
FLORESTA AZUL;2;BA;01/03/2021
FORMOSA DO RIO PRETO;26;BA;01/03/2021
GANDU;9;BA;01/03/2021
GENTIO DO OURO;7;BA;01/03/2021
GLORIA;7;BA;01/03/2021
GONGOGI;1;BA;01/03/2021
GOVERNADOR MANGABEIRA;26;BA;01/03/2021
GUAJERU;2;BA;01/03/2021
GUANAMBI;85;BA;01/03/2021
GUARATINGA;6;BA;01/03/2021
HELIOPOLIS;11;BA;01/03/2021
IACU;22;BA;01/03/2021
IBIASSUCE;1;BA;01/03/2021
IBICARAI;16;BA;01/03/2021
IBICOARA;6;BA;01/03/2021
IBICUI;4;BA;01/03/2021
IBIPEBA;1;BA;01/03/2021
IBIPITANGA;5;BA;01/03/2021
IBIQUERA;10;BA;01/03/2021
IBIRAPITANGA;21;BA;01/03/2021
IBIRAPUA;4;BA;01/03/2021
IBIRATAIA;12;BA;01/03/2021
IBITIARA;8;BA;01/03/2021
IBITITA;10;BA;01/03/2021
IBOTIRAMA;15;BA;01/03/2021
ICHU;1;BA;01/03/2021
IGAPORA;5;BA;01/03/2021
IGRAPIUNA;2;BA;01/03/2021
IGUAI;4;BA;01/03/2021
ILHEUS;537;BA;01/03/2021
INHAMBUPE;15;BA;01/03/2021
IPECAETA;4;BA;01/03/2021
IPIAU;51;BA;01/03/2021
